"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"ar-dz.js","/home/marczinusd/dev/moment/src/locale/ar-dz.js","5","6","156","100","e8865902-d7f2-4198-b8d0-9e8612aa89d3",""
"oc-lnc.js","/home/marczinusd/dev/moment/src/locale/oc-lnc.js","2","3","83","100","7878ae72-c927-43da-b993-00479e3ebcf0",""
"id.js","/home/marczinusd/dev/moment/src/locale/id.js","6","10","76","100","413c7a20-22da-4348-9861-8149c7354221",""
"ar-tn.js","/home/marczinusd/dev/moment/src/locale/ar-tn.js","3","9","54","100","6e042cfd-6b83-4ef2-8458-42740deccff7",""
"hi.js","/home/marczinusd/dev/moment/src/locale/hi.js","6","12","164","100","dd4bb4d5-bf5f-4e9b-9fe3-58cd3dd63950",""
"af.js","/home/marczinusd/dev/moment/src/locale/af.js","4","10","71","100","309e561b-dbe3-4161-90b8-8fb48d6e08aa",""
"gom-latn.js","/home/marczinusd/dev/moment/src/locale/gom-latn.js","3","9","124","100","66145425-d3b6-4630-87b3-ffcb28fc0943",""
"ms-my.js","/home/marczinusd/dev/moment/src/locale/ms-my.js","5","10","76","100","997b2ecf-fb9d-4a8e-a3f5-1c284859ea2d",""
"jv.js","/home/marczinusd/dev/moment/src/locale/jv.js","5","8","76","100","888365b0-e08f-4cab-884e-f4ad915b6fd9",""
"lv.js","/home/marczinusd/dev/moment/src/locale/lv.js","6","13","93","100","6922dd08-1d39-4c78-a67b-09fdb38fd361",""
"zh-cn.js","/home/marczinusd/dev/moment/src/locale/zh-cn.js","12","18","120","91.17647058823529","a0c68027-db0c-44fc-994e-9b94b728eeac",""
"sk.js","/home/marczinusd/dev/moment/src/locale/sk.js","6","14","144","89.1304347826087","4010c046-4a26-48f5-bf64-8e677a0f23b5",""
"de.js","/home/marczinusd/dev/moment/src/locale/de.js","7","14","78","100","21a0d7ed-bd7f-435e-927d-7d72209e4513",""
"ar.js","/home/marczinusd/dev/moment/src/locale/ar.js","6","16","189","100","2b76e781-ae32-40e8-b5de-31c8667a0772",""
"it.js","/home/marczinusd/dev/moment/src/locale/it.js","10","14","106","90.9090909090909","93025048-d4d1-468e-9fb3-7452aa40bb85",""
"en-il.js","/home/marczinusd/dev/moment/src/locale/en-il.js","3","4","64","100","b88e0609-f77e-42c1-bd24-ba1a2fc71237",""
"tk.js","/home/marczinusd/dev/moment/src/locale/tk.js","2","3","91","92.3076923076923","e4bc0a58-aba9-4318-90c0-8e0d49e41ffd",""
"fy.js","/home/marczinusd/dev/moment/src/locale/fy.js","5","13","77","100","f210d037-176d-49d4-9113-b5650ab2b8bb",""
"be.js","/home/marczinusd/dev/moment/src/locale/be.js","7","13","141","96.42857142857143","2e00425f-5a2d-41e6-a2d9-8c61c02f22c9",""
"en-in.js","/home/marczinusd/dev/moment/src/locale/en-in.js","2","4","68","100","b1b6d5f9-862b-410a-bc39-546b9fbb4c6f",""
"sr.js","/home/marczinusd/dev/moment/src/locale/sr.js","10","17","129","95.65217391304348","47d31c9e-2e41-49cb-9420-16d295dfd38d",""
"uz-latn.js","/home/marczinusd/dev/moment/src/locale/uz-latn.js","4","5","53","100","b129238e-9898-4497-8bb9-17192a71b467",""
"es.js","/home/marczinusd/dev/moment/src/locale/es.js","12","24","106","100","d1aac4fd-b544-4d0a-acb5-2acde3b51700",""
"fa.js","/home/marczinusd/dev/moment/src/locale/fa.js","8","14","110","100","87843035-11f6-4eda-b279-4a2bb4ae39ce",""
"es-us.js","/home/marczinusd/dev/moment/src/locale/es-us.js","8","11","106","100","9f70d699-c61e-40ac-a10f-8f80fb574dcf",""
"nb.js","/home/marczinusd/dev/moment/src/locale/nb.js","8","14","61","100","bce1b90f-dfbd-462c-9772-7175a28aa4a2",""
"nl.js","/home/marczinusd/dev/moment/src/locale/nl.js","9","18","104","100","3dd72a80-f34f-4c47-bf15-c176f0d70e23",""
"es-do.js","/home/marczinusd/dev/moment/src/locale/es-do.js","7","11","104","100","829ec2c3-2ac0-4dfc-86b8-d4cf2dcc3114",""
"en-au.js","/home/marczinusd/dev/moment/src/locale/en-au.js","7","15","68","100","4a6892c9-1f3f-4c72-a504-7cac6888bead",""
"ne.js","/home/marczinusd/dev/moment/src/locale/ne.js","6","13","120","100","99abf512-05b0-4b25-9247-365b538aea0a",""
"ja.js","/home/marczinusd/dev/moment/src/locale/ja.js","12","18","148","94.73684210526316","95ea20ba-3319-4c26-ad4e-118a92d2fc72",""
"ss.js","/home/marczinusd/dev/moment/src/locale/ss.js","4","9","83","100","412d81e2-f2d0-48e5-9877-e4c391019701",""
"te.js","/home/marczinusd/dev/moment/src/locale/te.js","6","9","86","100","b961bbdc-977a-4842-9235-55ad56684694",""
"hy-am.js","/home/marczinusd/dev/moment/src/locale/hy-am.js","6","12","92","100","3992c866-4e55-41dc-ade8-a75132eacf96",""
"pa-in.js","/home/marczinusd/dev/moment/src/locale/pa-in.js","7","9","121","100","7415fdc1-512a-4e2e-a7eb-ead2d33a58ed",""
"my.js","/home/marczinusd/dev/moment/src/locale/my.js","5","12","91","100","f406a838-7c83-498a-ad1d-a5101038e8f3",""
"zh-hk.js","/home/marczinusd/dev/moment/src/locale/zh-hk.js","7","10","101","96.55172413793103","ad112763-79ee-4dcf-80b1-a9b5244ca5aa",""
"cv.js","/home/marczinusd/dev/moment/src/locale/cv.js","5","10","62","100","cf87b975-28d5-4df9-80cb-686334ed1ea9",""
"se.js","/home/marczinusd/dev/moment/src/locale/se.js","4","6","57","100","5f617750-6940-4c29-9140-c166feef73ac",""
"hr.js","/home/marczinusd/dev/moment/src/locale/hr.js","10","18","154","76.92307692307692","a85581e7-0b83-4c99-89dd-fd0c263fd71c",""
"zh-mo.js","/home/marczinusd/dev/moment/src/locale/zh-mo.js","2","3","100","96.55172413793103","ec7b03fa-88b9-4f4c-82d2-06154f8e90fc",""
"de-at.js","/home/marczinusd/dev/moment/src/locale/de-at.js","7","14","79","100","0f87b5de-7aa2-442c-8e95-58f78f43af91",""
"fo.js","/home/marczinusd/dev/moment/src/locale/fo.js","5","9","56","100","5c145370-abe8-43ff-b6e2-95418ff3aba5",""
"uk.js","/home/marczinusd/dev/moment/src/locale/uk.js","9","19","163","94.44444444444444","c8ce2dc2-cbd6-47cb-9102-8ee84c961e08",""
"eu.js","/home/marczinusd/dev/moment/src/locale/eu.js","5","11","63","100","c4de60a6-8282-4115-82c8-77e127663088",""
"mt.js","/home/marczinusd/dev/moment/src/locale/mt.js","2","3","55","100","56e42772-1f5a-4d14-82b2-8d9f75d642aa",""
"br.js","/home/marczinusd/dev/moment/src/locale/br.js","7","13","165","96.66666666666667","0f5b65a8-0009-40c6-8527-27df260d1c3b",""
"gl.js","/home/marczinusd/dev/moment/src/locale/gl.js","5","11","74","100","c51635cd-a9f8-4072-bfca-f0d5ebbe9b5a",""
"tzm-latn.js","/home/marczinusd/dev/moment/src/locale/tzm-latn.js","4","8","53","100","730f18b9-2e33-40dd-83e8-9f66bd71235c",""
